"gene_name","tpm","tpm_log2","omicsoft_land","primary_indication","sample_id","gross_anatomical_region"
"FUT3",4.5,2.35,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"FUT3",3.2,1.9,"GTEX",NA,"GTEX-DEMO-03","Breast"
"FUT4",6,2.75,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"FUT4",7,2.95,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"FUT4",3.5,2,"GTEX",NA,"GTEX-DEMO-03","Breast"
"FUT5",1.8,1.05,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"FUT5",2.2,1.25,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"FUT5",1.5,0.9,"GTEX",NA,"GTEX-DEMO-03","Breast"
"FUT9",1,0.58,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"FUT9",1.2,0.65,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"FUT9",0.8,0.5,"GTEX",NA,"GTEX-DEMO-03","Breast"
"GMDS",11,3.55,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"GMDS",10,3.45,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"GMDS",9,3.25,"GTEX",NA,"GTEX-DEMO-03","Breast"
"MAN1A1",5.5,2.65,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"MAN1A1",6,2.7,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"MAN1A1",6.5,2.85,"GTEX",NA,"GTEX-DEMO-03","Breast"
"MAN1A2",3.2,1.9,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"MAN1A2",3.8,2.05,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"MAN1A2",2.5,1.65,"GTEX",NA,"GTEX-DEMO-03","Breast"
"MGAT1",14,3.95,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"MGAT1",13.5,3.88,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"MGAT1",12,3.7,"GTEX",NA,"GTEX-DEMO-03","Breast"
"MGAT2",8,3.15,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"MGAT2",8.5,3.25,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"MGAT2",7,2.95,"GTEX",NA,"GTEX-DEMO-03","Breast"
"MGAT5",3.8,2.25,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"MGAT5",4.5,2.45,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"MGAT5",2.8,1.85,"GTEX",NA,"GTEX-DEMO-03","Breast"
"PROCR",7.5,3.05,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"PROCR",8,3.15,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"PROCR",1.8,1.05,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SLC35C1",6.5,2.85,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"SLC35C1",6,2.75,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"SLC35C1",5.5,2.65,"GTEX",NA,"GTEX-DEMO-03","Breast"
"TM9SF1",4.2,2.25,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"TM9SF1",4,2.22,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"TM9SF1",3,1.85,"GTEX",NA,"GTEX-DEMO-03","Breast"
"TM9SF3",3.5,2.05,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"TM9SF3",3.8,2.15,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"TM9SF3",2.2,1.55,"GTEX",NA,"GTEX-DEMO-03","Breast"
"GAPDH",231.5,7.86,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"ACTB",72.9,6.19,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"B2M",131.6,7.04,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HPRT1",116.1,6.86,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TBP",149.5,7.22,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"PPIA",106.7,6.74,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPLP0",159.8,7.32,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL13A",120.3,6.91,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SDHA",150.8,7.24,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HMBS",101.2,6.66,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"YWHAZ",142,7.15,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"UBC",250.9,7.97,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"GUSB",21.3,4.42,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HSP90AB1",100.8,6.66,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"LDHA",110.7,6.79,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"PGK1",176.6,7.47,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TFRC",89.6,6.49,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"ALAS1",6.9,2.81,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"IPO8",5.3,2.43,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"POLR2A",194,7.6,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS18",76,6.25,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL19",15.8,3.99,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL32",113.7,6.83,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"EEF1A1",193.1,7.59,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"EIF4A2",208.2,7.7,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"ATP5F1B",63.6,5.99,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"NDUFA1",96.8,6.6,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"COX7C",14.5,3.87,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"UQCRB",110,6.78,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"VDAC1",56.4,5.82,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TUBA1A",176.4,7.46,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TUBB",159.2,7.32,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"VIM",138.9,7.12,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"FLNA",69.3,6.12,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"MYH9",118.4,6.89,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"CLTC",10.5,3.41,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RAB1A",46.6,5.55,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RAB5A",49.2,5.62,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RAB7A",6,2.61,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"LAMP1",73.8,6.21,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HSP90AA1",94.1,6.56,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HSPA8",81.6,6.35,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HSPA5",162.3,7.34,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"CCT2",38.1,5.26,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"CCT5",19.2,4.27,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TCP1",94.6,6.57,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"CANX",57.5,5.85,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"CALR",211.6,7.73,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"PDIA3",70.6,6.14,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SEC61A1",160.8,7.33,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPN1",105.5,6.72,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPN2",44.1,5.47,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SSR1",241.2,7.91,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TRAM1",170.2,7.41,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SRP54",76.8,6.26,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SRP68",148.7,7.22,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SRP72",147.2,7.2,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"PSMA1",111.9,6.81,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"PSMB1",4.8,2.29,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"PSMC1",148.9,7.22,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"UBA1",70.6,6.14,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"UBE2D3",123.1,6.94,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SKP1",136.2,7.09,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"CUL1",235.4,7.88,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RBX1",57.3,5.84,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"COPS5",192.5,7.59,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"GPS1",161.8,7.34,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"EIF3A",179,7.48,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"EIF3B",126.9,6.99,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"EIF3E",165.5,7.37,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL3",25.4,4.67,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL4",111.5,6.8,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL5",176.2,7.46,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL7",48.4,5.6,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL8",49.1,5.62,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL10",129.9,7.02,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL11",146.9,7.2,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL14",160.1,7.32,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL18",29.9,4.91,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPL23",34.9,5.13,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS3",193,7.59,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS4X",100.1,6.65,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS5",88.3,6.47,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS6",82.9,6.38,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS8",22.4,4.49,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS10",139.5,7.13,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS14",84.7,6.41,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS15",69.1,6.11,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS19",175,7.45,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"RPS24",185.7,7.54,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HNRNPA1",224.1,7.81,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HNRNPC",57.2,5.84,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HNRNPK",172,7.43,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"HNRNPU",216.4,7.76,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SRSF1",27.1,4.77,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SRSF3",50.3,5.66,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SF3B1",23.4,4.55,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SNRPD1",14,3.82,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"DDX5",83.4,6.38,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"DHX9",170.7,7.42,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"GAPDH",179.4,7.49,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"ACTB",165.3,7.37,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"B2M",34.5,5.11,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HPRT1",191.9,7.58,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TBP",46.4,5.54,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"PPIA",120.6,6.92,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPLP0",52,5.7,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL13A",111.9,6.81,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SDHA",106.8,6.74,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HMBS",138.1,7.11,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"YWHAZ",80.7,6.34,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"UBC",141.6,7.15,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"GUSB",78.9,6.3,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HSP90AB1",52.6,5.72,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"LDHA",12.2,3.62,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"PGK1",58.4,5.87,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TFRC",45.7,5.52,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"ALAS1",235.7,7.88,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"IPO8",26.7,4.74,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"POLR2A",107.8,6.75,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS18",18.9,4.25,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL19",15.5,3.96,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL32",111,6.8,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"EEF1A1",28.5,4.84,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"EIF4A2",129.4,7.02,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"ATP5F1B",57.1,5.84,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"NDUFA1",58.7,5.88,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"COX7C",10.8,3.45,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"UQCRB",27.1,4.77,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"VDAC1",124.7,6.96,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TUBA1A",111.8,6.81,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TUBB",83.2,6.38,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"VIM",80.1,6.33,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"FLNA",143.6,7.17,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"MYH9",228.4,7.84,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"CLTC",37,5.21,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RAB1A",73,6.19,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RAB5A",160.2,7.32,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RAB7A",63.4,5.99,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"LAMP1",90.6,6.5,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HSP90AA1",69.9,6.13,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HSPA8",53.6,5.75,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HSPA5",55.4,5.79,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"CCT2",71.3,6.16,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"CCT5",51.1,5.68,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TCP1",198.3,7.63,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"CANX",61.9,5.95,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"CALR",52.6,5.72,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"PDIA3",162.1,7.34,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SEC61A1",24,4.59,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPN1",96,6.59,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPN2",15,3.92,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SSR1",221.8,7.79,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TRAM1",64.8,6.02,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SRP54",59.6,5.9,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SRP68",33.5,5.07,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SRP72",77,6.27,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"PSMA1",58.3,5.87,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"PSMB1",68.7,6.1,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"PSMC1",233.9,7.87,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"UBA1",83.2,6.38,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"UBE2D3",28.4,4.83,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SKP1",145.2,7.18,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"CUL1",90.3,6.5,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RBX1",167.8,7.39,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"COPS5",129.9,7.02,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"GPS1",34.1,5.1,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"EIF3A",135.1,7.08,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"EIF3B",97.1,6.6,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"EIF3E",143.4,7.16,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL3",64,6,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL4",147.2,7.2,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL5",9.3,3.23,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL7",176.6,7.47,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL8",202.2,7.66,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL10",95,6.57,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL11",15.5,3.96,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL14",147.1,7.2,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL18",176.2,7.46,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPL23",100.2,6.65,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS3",124.7,6.96,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS4X",76.7,6.26,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS5",137,7.1,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS6",157,7.3,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS8",70.7,6.15,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS10",20.3,4.35,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS14",116.6,6.87,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS15",183.7,7.52,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS19",33.9,5.09,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"RPS24",18.9,4.25,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HNRNPA1",116.2,6.86,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HNRNPC",66.1,6.05,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HNRNPK",145.3,7.18,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"HNRNPU",30.8,4.95,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SRSF1",28.5,4.84,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SRSF3",175.5,7.46,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SF3B1",111.5,6.8,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SNRPD1",144.8,7.18,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"DDX5",240.4,7.91,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"DHX9",83.8,6.39,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"GAPDH",9.5,3.26,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"ACTB",121.8,6.93,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"B2M",135,7.08,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"HPRT1",168.5,7.4,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"TBP",20,4.33,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"PPIA",30.8,4.95,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"RPLP0",58.7,5.88,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"RPL13A",26.5,4.73,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"SDHA",64.8,6.02,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"HMBS",64.9,6.02,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"YWHAZ",27.1,4.77,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"UBC",232.6,7.86,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"GUSB",82.4,6.37,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"HSP90AB1",86.7,6.44,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"LDHA",140.7,7.14,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"PGK1",108.3,6.76,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"TFRC",69.2,6.11,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"ALAS1",132.3,7.05,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"IPO8",71.7,6.17,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"POLR2A",24.2,4.6,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"RPS18",165.1,7.37,"TCGA","Breast cancer","TCGA-DEMO-03",NA
